rdspend,administration,marketingspend,Profit
150342,132660.287,358864.3387,177468.7724
127529,129291.1592,314846.5929,157979.8234
9261,111824.8023,86648.16397,56944.49153
57905,119008.7698,180506.8948,98500.64098
44699,117058.4475,155025.8817,87218.86913
151853,132883.4384,361779.8174,178759.6067
61613,119556.3841,187661.4909,101668.3534
120275,128219.8555,300849.9801,151782.7938
23224,113886.9217,113589.8106,68872.96194
105331,126012.8575,272015.4913,139016.2635
23501,113927.8303,114124.2829,69109.60065
7092,111504.4745,82463.07255,55091.53354
102136,125541.0053,265850.7301,136286.8026
85772,123124.2953,234276.3474,122307.1786
123288,128664.829,306663.5719,154356.7737
76992,121827.6249,217335.3134,114806.5004
7715,111596.4819,83665.15275,55623.75707
29104,114755.3069,124935.2867,73896.1952
144996,131870.7654,348549.2171,172901.7308
94169,124364.4025,250478.3818,129480.6633
78261,122015.0366,219783.8524,115890.5961
140902,131266.1448,340649.833,169404.2619
131845,129928.5658,323174.3267,161666.9449
1269,110644.5073,71227.57814,50116.99489
43990,116953.7392,153657.8643,86613.17655
49875,117822.8628,165012.9879,91640.68127
105070,125974.3118,271511.8911,138793.2935
93591,124279.0408,249363.1293,128986.8828
73077,121249.4398,209781.3102,111461.9497
94548,124420.3749,251209.6634,129804.4397
151956,132898.6499,361978.5561,178847.5987
60864,119445.7684,186216.2934,101028.4891
102790,125637.591,267112.6249,136845.5092
53315,118330.8977,171650.4773,94579.44358
116723,127695.2799,293996.3864,148748.3508
49288,117736.1719,163880.3698,91139.21223
145513,131947.1183,349546.77,173343.3994
148513,132390.1719,355335.2782,175906.2735
74741,121495.1869,212992.0028,112883.4905
104234,125850.8475,269898.8268,138079.1059
34715,115583.9649,135761.7265,78689.62408
107457,126326.8348,276117.6141,140832.487
156016,133498.2492,369812.3372,182316.0217
93879,124321.5739,249918.826,129232.9188
121139,128347.4549,302517.0705,152520.9015
99283,125119.6613,260345.8588,133849.5093
140934,131270.8707,340711.577,169431.5992
70585,120881.4099,204972.9894,109333.0556
84834,122985.7671,232466.4738,121505.8533
70098,120809.4875,204033.3216,108917.0157
140809,131252.4101,340470.3892,169324.8128
131560,129886.4757,322624.4184,161423.4719
143330,131624.7229,345334.6656,171478.4813
103756,125780.2543,268976.5245,137670.7546
66195,120233.0747,196502.4724,105582.7164
108206,126437.4506,277562.8117,141472.3512
141099,131295.2386,341029.945,169572.5573
91258,123934.4927,244861.5994,126993.8211
82771,122681.0939,228485.9097,119743.4502
63354,119813.5029,191020.7552,103155.6747
43639,116901.9019,152980.6088,86313.32028
66303,120249.0247,196710.8587,105674.9799
120844,128303.888,301947.8672,152268.8856
61968,119608.8121,188346.4644,101971.6268
137388,130747.1813,333869.5604,166402.282
41818,116632.9683,149466.9844,84757.65569
109162,126578.637,279407.4163,142289.0538
124648,128865.68,309287.6956,155518.6099
150584,132696.0267,359331.2784,177675.5109
72698,121193.4674,209050.0287,111138.1732
109398,126613.4906,279862.7789,142490.6665
19644,113358.211,106682.1908,65814.59883
46632,117343.9218,158755.6105,88870.21435
89242,123636.7607,240971.7219,125271.5697
133947,130238.9987,327230.1415,163462.6654
123502,128696.4335,307076.4854,154539.592
119535,128110.5689,299422.1481,151150.6182
151311,132803.3933,360734.0269,178296.5808
67153,120374.5565,198350.9361,106401.1276
32321,115230.4081,131142.4969,76644.45054
71633,121036.1833,206995.1083,110228.3529
86080,123169.7821,234870.6342,122570.3004
6055,111351.3256,80462.17821,54205.63339
29050,114747.3319,124831.0935,73850.06347
79974,122268.0202,223089.0906,117353.9972
17303,113012.4814,102165.2249,63814.70273
21265,113597.6077,109809.9147,67199.40514
154934,133338.4545,367724.6153,181391.6784
155120,133365.9238,368083.5028,181550.5766
126307,129110.6887,312488.7406,156935.8793
155154,133370.9451,368149.1059,181579.6225
53078,118295.8964,171193.1851,94376.97653
31835,115158.6334,130204.7586,76229.26494
47467,117467.2384,160366.7453,89583.54765
149605,132551.4435,357442.2952,176839.1597
75555,121615.4022,214562.618,113578.8837
29784,114855.7324,126247.3485,74477.11333
46373,117305.6715,158255.8693,88648.95289
52714,118242.1392,170490.8461,94066.01447
114529,127371.26,289763.0574,146874.0356
134049,130254.0625,327426.9507,163549.8031
105163,125988.0465,271691.3349,138872.7426
84807,122981.7797,232414.3773,121482.7874
47480,117469.1583,160391.8288,89594.65343
52985,118282.1617,171013.7414,94297.52743
129319,129555.5146,318300.4028,159509.0049
37618,116012.6932,141363.0729,81169.63193
80380,122327.9801,223872.4687,117700.8395
14469,112593.9434,96697.01419,61393.64099
141203,131310.5978,341230.6133,169661.4036
143533,131654.7029,345726.3546,171651.9025
92746,124154.2473,247732.6995,128265.0066
30713,114992.9313,128039.8566,75270.75002
70966,120937.6777,205708.13,109658.5406
113478,127216.0435,287735.1501,145976.1753
5107,111211.3206,78633.00963,53395.76517
111210,126881.095,283359.0379,144038.6425
6166,111367.7186,80676.35302,54300.45973
10758,112045.886,89536.62956,58223.36571
19870,113391.5877,107118.2584,66007.66868
84817,122983.2565,232433.6723,121491.3304
47856,117524.6877,161117.3219,89915.86699
155761,133460.5896,369320.314,182098.1774
22390,113763.7528,111980.6053,68160.48294
102474,125590.9227,266502.902,136575.5531
73031,121242.6463,209692.5531,111422.6523
108606,126496.5244,278334.6128,141814.0678
43074,116818.4601,151890.4398,85830.64565
85328,123058.7233,233419.6482,121927.8732
55700,118683.1253,176252.3413,96616.9285
48759,117658.0468,162859.6628,90687.2921
124538,128849.4347,309075.4503,155424.6379
86530,123236.2402,235738.9105,122954.7315
75098,121547.9103,213680.8353,113188.4725
134440,130311.8072,328181.3863,163883.8311
23354,113906.1207,113840.646,68984.01982
58848,119148.0363,182326.4159,99306.23774
3854,111026.2719,76215.3427,52325.33808
11310,112127.4079,90601.71506,58694.93455
36517,115850.0925,139238.6904,80229.05713
65189,120084.5041,194561.3927,104723.2993
2603,110841.5185,73801.53479,51256.61958
2696,110855.2532,73980.97854,51336.06868
4908,111181.9314,78249.03858,53225.76119
18307,113160.7567,104102.4457,64672.41127
145420,131933.3836,349367.3263,173263.9503
124967,128912.7914,309903.2069,155791.1289
81122,122437.5621,225304.1597,118334.7237
48147,117567.6639,161678.8072,90164.46578
107504,126333.776,276208.3008,140872.6387
78966,122119.1542,221144.1518,116492.8715
11572,112166.1013,91107.24478,58918.75889
17929,113104.932,103373.0936,64349.48913
135016,130396.8735,329292.7799,164375.9029
140499,131206.6279,339872.2434,169059.9825
70972,120938.5638,205719.707,109663.6663
23044,113860.3385,113242.5001,68719.18949
62977,119757.8258,190293.3327,102833.6068
127949,129353.1867,315656.9841,158338.6258
140062,131142.0898,339029.0507,168686.6571
142634,131521.9344,343991.7317,170883.8945
51407,118049.1155,167968.9861,92949.45565
71393,121000.739,206532.0276,110023.323
90687,123850.1648,243759.8533,126506.0207
95482,124558.3123,253011.8189,130602.3478
79898,122256.7962,222942.4484,117289.0711
80315,122318.3806,223747.051,117645.3106
116953,127729.2474,294440.1721,148944.8378
77184,121855.9803,217705.778,114970.5243
141804,131399.3563,342390.2444,170174.8327
51183,118016.0342,167536.7775,92758.09438
109716,126660.4543,280476.3608,142762.3312
140198,131162.1749,339291.463,168802.8408
8318,111685.5357,84828.64289,56138.89476
130650,129752.0827,320868.571,160646.0668
132796,130069.0138,325009.2838,162479.376
114589,127380.1211,289878.8276,146925.293
14349,112576.2213,96465.47386,61291.12602
74459,121453.5399,212447.883,112642.5803
78709,122081.1992,220648.2696,116273.3187
70529,120873.1396,204864.9373,109285.2152
63481,119832.2588,191265.802,103264.1697
12968,112372.2689,93800.83059,60111.34964
7251,111527.9563,82769.86348,55227.36587
28913,114727.0991,124566.7516,73733.02555
57470,118944.527,179667.5611,98129.02423
39280,116258.1449,144569.9064,82589.46419
140284,131174.8757,339457.4003,168876.3098
65509,120131.7631,195178.8336,104996.6726
115538,127520.2737,291709.9257,147736.0156
155075,133359.278,367996.6752,181512.1335
54112,118448.6022,173188.2909,95260.31381
50269,117881.0505,165773.212,91977.27207
90441,123813.8344,243285.1957,126295.865
146667,132117.5463,351773.4162,174329.2516
81041,122425.5996,225147.87,118265.5261
122666,128572.9692,305463.4212,153825.4044
52746,118246.8651,170552.5902,94093.35179
139181,131011.9797,337329.1588,167934.0264
63457,119828.7144,191219.494,103243.6667
130989,129802.1478,321522.6724,160935.6715
67877,120481.4801,199747.896,107019.6345
145505,131945.9368,349531.334,173336.5651
28236,114627.1167,123260.4783,73154.67029
113363,127199.0598,287513.2573,145877.9318
134787,130363.0537,328850.9238,164180.2702
158727,133898.622,375043.2191,184632.0056
120520,128256.0382,301322.7083,151992.0952
60472,119387.876,185459.9283,100693.6069
154106,133216.1717,366126.987,180684.3252
40219,116396.8207,146381.7095,83391.64379
84406,122922.5582,231640.6467,121140.2166
20629,113503.6803,108582.751,66656.07583
87536,123384.8108,237679.9902,123814.1486
118530,127962.1459,297482.9979,150292.0553
129325,129556.4007,318311.9798,159514.1307
44466,117024.037,154576.3076,87019.81924
55907,118713.696,176651.7484,96793.76682
65694,120159.0848,195535.7916,105154.7165
148622,132406.2696,355545.594,175999.3913
140627,131225.5315,340119.2197,169169.3318
156713,133601.1853,371157.2006,182911.4628
100606,125315.048,262898.5909,134979.7368
24830,114124.1031,116688.592,70244.95388
141159,131304.0997,341145.7152,169623.8148
101587,125459.9265,264791.4331,135817.7966
1215,110636.5323,71123.385,50070.86316
13269,112416.722,94381.61091,60368.49134
155679,133448.4795,369162.0948,182028.1255
50634,117934.9554,166477.4805,92289.08842
158637,133885.3304,374869.5639,184555.1194
101322,125420.7901,264280.1149,135591.4094
28980,114736.994,124696.0283,73790.26307
130675,129755.7748,320916.8085,160667.424
84533,122941.3141,231885.6935,121248.7116
101223,125406.1693,264089.0941,135506.8346
123282,128663.9429,306651.9948,154351.6479
79009,122125.5046,221227.1204,116529.6061
109841,126678.9148,280717.5486,142869.1176
96021,124637.9143,254051.8209,131062.8109
136849,130667.5793,332829.5584,165941.819
144390,131781.2685,347379.9385,172384.0302
109658,126651.8885,280364.4496,142712.7823
50050,117848.7076,165350.6509,91790.18226
60170,119343.2753,184877.2185,100435.6109
112043,127004.1162,284966.3136,144750.2672
103519,125745.2531,268519.2324,137468.2876
132029,129955.7397,323529.3552,161824.1346
51373,118044.0942,167903.383,92920.40974
69518,120723.8305,202914.21,108421.5267
107707,126363.756,276599.9898,141046.0598
125384,128974.3759,310707.8096,156147.3684
156397,133554.517,370547.4778,182641.5067
118745,127993.8981,297897.841,150475.728
36008,115774.9211,138256.5735,79794.22283
7959,111632.517,84135.95141,55832.20416
121607,128416.5713,303420.0778,152920.7099
113168,127170.2613,287137.0042,145711.345
92665,124142.2849,247576.4097,128195.809
36840,115897.7946,139861.9198,80504.99325
144661,131821.291,347902.8337,172615.5432
62251,119650.6068,188892.5137,102213.3913
49407,117753.7464,164109.9806,91240.87291
127740,129322.3207,315253.718,158160.0789
6101,111358.1191,80550.93534,54244.9308
142977,131572.5902,344653.5511,171176.9165
138529,130915.6893,336071.123,167377.0285
122905,128608.2658,305924.5723,154029.5801
66102,120219.3401,196323.0287,105503.2673
18930,113252.7642,105304.5259,65204.63479
18903,113248.7767,105252.4293,65181.56893
140704,131236.9032,340267.7914,169235.1122
112110,127014.0111,285095.5903,144807.5047
143046,131582.7805,344786.6868,171235.8626
50864,117968.9228,166921.2661,92485.57543
132160,129975.0864,323782.1201,161936.0467
68920,120635.5151,201760.3674,107910.6604
157947,133783.428,373538.207,183965.6583
120687,128280.7015,301644.9353,152134.7618
3372,110955.0879,75285.32239,51913.56964
53012,118286.1492,171065.8379,94320.5933
64233,119943.3176,192716.7881,103906.5968
102541,125600.8176,266632.1787,136632.7906
27996,114591.6724,122797.3976,72949.64036
3111,110916.5422,74781.72217,51690.5996
66932,120341.9182,197924.516,106212.3292
118012,127885.6453,296483.5154,149849.5324
18192,113143.773,103880.5529,64574.16776
83511,122790.3805,229913.7417,120375.6258
123767,128735.5699,307587.8037,154765.9792
44424,117017.8343,154495.2685,86983.939
143423,131638.4576,345514.1093,171557.9304
127190,129241.0942,314192.4915,157690.2186
22014,113708.2234,111255.1123,67839.26938
148327,132362.7026,354976.3907,175747.3753
4852,111173.6611,78140.98643,53177.92087
87342,123356.16,237305.6667,123648.4161
12412,112290.1563,92728.02707,59636.36364
66380,120260.3964,196859.4305,105740.7603
135781,130509.8522,330768.8495,165029.4358
154047,133207.4583,366013.1464,180633.922
91262,123935.0835,244869.3174,126997.2382
143575,131660.9056,345807.3938,171687.7827
89669,123699.822,241795.6195,125636.3521
3737,111008.9928,75989.59088,52225.38599
12816,112349.8208,93507.54618,59981.49735
46750,117361.3485,158983.2918,88971.02073
16708,112924.6091,101017.1708,63306.39937
11277,112122.5343,90538.04147,58666.74293
32758,115294.9462,131985.6896,77017.77587
131074,129814.701,321686.6801,161008.2863
33729,115438.348,133859.2368,77847.29279
56708,118831.9913,178197.28,97478.0542
43245,116843.7142,152220.3848,85976.72948
117945,127875.7505,296354.2388,149792.2949
93533,124270.4751,249251.2181,128937.3339
36345,115824.6907,138906.8159,80082.11902
123150,128644.4486,306397.3005,154238.8815
146767,132132.3147,351966.3665,174414.6808
125425,128980.4309,310786.9192,156182.3943
26154,114319.6374,119243.2536,71376.03566
113132,127164.9447,287067.5421,145680.5905
159191,133967.1476,375938.5084,185028.3968
23281,113895.3397,113699.7923,68921.65655
145038,131876.9681,348630.2563,172937.611
119016,128033.9206,298420.7362,150707.2409
159570,134023.1201,376669.7899,185352.1732
66705,120308.3938,197486.5188,106018.405
96720,124741.1458,255400.5433,131659.9605
77031,121833.3846,217410.564,114839.8177
56584,118813.6785,177958.0217,97372.12207
34269,115518.0976,134901.1683,78308.61013
43002,116807.8268,151751.5156,85769.13667
90606,123838.2024,243603.5636,126436.8231
21297,113602.3336,109871.6588,67226.74247
147448,132232.8879,353280.3578,174996.4532
11931,112219.12,91799.93626,59225.44949
62868,119741.7282,190083.0169,102740.489
107864,126386.9425,276902.9217,141180.1836
126763,129178.0329,313368.5938,157325.4362
48320,117593.2133,162012.6111,90312.25819
132750,130062.2203,324920.5267,162440.0786
90232,123782.9684,242881.9296,126117.3181
11415,112142.9148,90804.31285,58784.63514
136367,130596.3953,331899.5381,165530.0505
48599,117634.4173,162550.9424,90550.60548
131209,129834.6384,321947.163,161123.6156
44805,117074.1021,155230.409,87309.42402
27745,114554.6036,122313.0924,72735.21323
56428,118790.6397,177657.0193,97238.85262
22961,113848.0807,113082.3514,68648.28331
127002,129213.3295,313829.745,157529.6118
42722,116766.4752,151211.2548,85529.93509
36880,115903.702,139939.0999,80539.1649
134020,130249.7797,327370.9952,163525.0287
105406,126023.9338,272160.204,139080.3354
135965,130537.0261,331123.878,165186.6254
22609,113796.0957,112403.1664,68347.57275
48592,117633.3835,162537.4359,90544.62544
45646,117198.3048,156853.1208,88027.88306
18687,113216.8769,104835.6567,64997.04199
159134,133958.7296,375828.5267,184979.7022
25194,114177.8603,117390.931,70555.91594
49370,117748.2821,164038.589,91209.26412
83997,122862.1552,230851.4801,120790.8114
127102,129228.0979,314022.6953,157615.041
112617,127088.8871,286073.8482,145240.6305
18790,113232.0884,105034.3955,65085.034
31530,115113.5896,129616.2603,75968.70607
154761,133312.905,367390.8113,181243.886
62322,119661.0924,189029.5084,102274.046
138389,130895.0135,335800.9926,167257.4277
54437,118496.5997,173815.3793,95537.9585
128678,129460.8488,317063.5916,158961.4042
36374,115828.9736,138962.7715,80106.89347
91354,123948.6704,245046.8317,127075.833
159026,133942.7797,375620.1405,184887.4387
21362,113611.9331,109997.0765,67282.27141
33021,115333.7873,132493.1489,77242.4545
135411,130455.2089,330054.9335,164713.348
41996,116659.2562,149810.4359,84909.71956
129894,129640.4332,319409.8669,160000.2225
29076,114751.1717,124881.2606,73872.27504
60970,119461.4229,186420.8207,101119.044
68150,120521.798,200274.6503,107252.8561
79611,122214.4107,222388.6811,117043.8895
125073,128928.446,310107.7342,155881.6838
108627,126499.6258,278375.1323,141832.0079
38547,116149.8921,143155.5809,81963.26862
109403,126614.229,279872.4264,142494.938
110385,126759.2552,281767.1981,143333.8521
27445,114510.2982,121734.2416,72478.92582
99603,125166.9203,260963.2997,134122.8826
10372,111988.8798,88791.8415,57893.60924
146341,132069.4011,351144.3983,174050.7527
20181,113437.5176,107718.3338,66273.3533
105465,126032.6472,272274.0447,139130.7386
58528,119100.7772,181708.975,99032.8645
